C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:73: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAECDDS_cell_negative.py:76: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.8718, 0.8985, 0.9483,  ..., 0.9753, 0.9959, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5098387002944946 accuracy: 0.9424618000979155
(2688, 128)
lenth 2688
pot 537
C:\Users\juneli\Anaconda\envs\pytorch\lib\site-packages\torch\nn\modules\conv.py:440: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at  ..\aten\src\ATen\native\Convolution.cpp:660.)
  self.padding, self.dilation, self.groups)
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  39 |loss:  0.5646184682846069 | accuracy_train:  0.49514563106796117 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  40 |loss:  0.6021512746810913 | accuracy_train:  0.5436893203883495 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  41 |loss:  0.5561807751655579 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  42 |loss:  0.5368255972862244 | accuracy_train:  0.5825242718446602 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  43 |loss:  0.5789175629615784 | accuracy_train:  0.5242718446601942 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  44 |loss:  0.5500589609146118 | accuracy_train:  0.5533980582524272 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  45 |loss:  0.6271478533744812 | accuracy_train:  0.42718446601941745 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  46 |loss:  0.5545995831489563 | accuracy_train:  0.4368932038834951 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  47 |loss:  0.6061474084854126 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  48 |loss:  0.5660945773124695 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  49 |loss:  0.5650286078453064 | accuracy_train:  0.44660194174757284 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  50 |loss:  0.4960988461971283 | accuracy_train:  0.5339805825242718 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  51 |loss:  0.5792577266693115 | accuracy_train:  0.42718446601941745 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  52 |loss:  0.5946894288063049 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  53 |loss:  0.5514446496963501 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  54 |loss:  0.6211827993392944 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  55 |loss:  0.5322297215461731 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  56 |loss:  0.6191446781158447 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  57 |loss:  0.5649962425231934 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  58 |loss:  0.553539514541626 | accuracy_train:  0.5339805825242718 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  59 |loss:  0.5866885185241699 | accuracy_train:  0.4368932038834951 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  60 |loss:  0.6024909019470215 | accuracy_train:  0.5825242718446602 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  61 |loss:  0.5838255286216736 | accuracy_train:  0.5145631067961165 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  62 |loss:  0.5509892106056213 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  63 |loss:  0.5598604679107666 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  64 |loss:  0.5944425463676453 | accuracy_train:  0.4368932038834951 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  65 |loss:  0.5599948763847351 | accuracy_train:  0.5145631067961165 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  66 |loss:  0.5575366616249084 | accuracy_train:  0.5145631067961165 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  67 |loss:  0.6230721473693848 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  68 |loss:  0.575175404548645 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  69 |loss:  0.5797637701034546 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  70 |loss:  0.5471462607383728 | accuracy_train:  0.4368932038834951 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  71 |loss:  0.529082715511322 | accuracy_train:  0.49514563106796117 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  72 |loss:  0.5691041350364685 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  73 |loss:  0.5435554385185242 | accuracy_train:  0.46601941747572817 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  74 |loss:  0.5585733652114868 | accuracy_train:  0.44660194174757284 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  75 |loss:  0.5760107040405273 | accuracy_train:  0.4563106796116505 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  76 |loss:  0.5930991172790527 | accuracy_train:  0.44660194174757284 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  77 |loss:  0.5488976836204529 | accuracy_train:  0.47572815533980584 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  78 |loss:  0.5917892456054688 | accuracy_train:  0.4174757281553398 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  79 |loss:  0.6119609475135803 | accuracy_train:  0.4854368932038835 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  80 |loss:  0.5747397541999817 | accuracy_train:  0.5339805825242718 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  81 |loss:  0.5473529696464539 | accuracy_train:  0.4368932038834951 | accuracy_test:  0.5065176908752328
Epoch GAE :  0 | data time:  0 | cross validation:  0 | Epoch:  82 |loss:  0.5742629766464233 | accuracy_train:  0.5145631067961165 | accuracy_test:  0.5065176908752328
