C:\Users\juneli\Anaconda\envs\pytorch\python.exe "D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py"
Using backend: pytorch
cell_feature:  torch.Size([5693, 954])
node_feature:  torch.Size([197, 300])
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:72: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  pos_weight = torch.tensor((adj.shape[0] * adj.shape[0] - adj.sum()) / adj.sum())
D:/1.Deep learning/GNN for drug synergy/GAE_MLP.py:75: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  adj = torch.tensor(adj)
tensor([0.9499, 0.9660, 0.9875,  ..., 0.9915, 0.9993, 1.0000],
       grad_fn=<SigmoidBackward>)
loss: 0.5053110718727112 accuracy: 0.97219717075936
lenth 5693
pot 1138
Epoch GAE :  0 | cross validation:  0 | Epoch:  63 |loss:  0.2816806733608246 | accuracy_train:  0.76 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  64 |loss:  0.2819924056529999 | accuracy_train:  0.8 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  65 |loss:  0.39682725071907043 | accuracy_train:  0.72 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  66 |loss:  0.2449861466884613 | accuracy_train:  0.8666666666666667 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  67 |loss:  0.24779991805553436 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  68 |loss:  0.28524529933929443 | accuracy_train:  0.76 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  69 |loss:  0.29462555050849915 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  70 |loss:  0.39158394932746887 | accuracy_train:  0.7733333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  71 |loss:  0.2933295965194702 | accuracy_train:  0.7333333333333333 | accuracy_test:  0.7618629173989455
Epoch GAE :  0 | cross validation:  0 | Epoch:  72 |loss:  0.3361860513687134 | accuracy_train:  0.7066666666666667 | accuracy_test:  0.7618629173989455
